NO2 Mean,O3 Mean,SO2 Mean,CO Mean,AirQualityCategory
3.692744096284876,3.334833776805528,1.1340847353284105,1.744172774436083,Moderate
1.9432666445069773,4.49037157010191,1.138748533229693,1.0899001149789174,Bad
3.054685838030013,3.5083348232596783,1.1933363979790128,1.374583812412156,Moderate
3.437444028814705,1.3904483451300442,1.5503303630003886,1.9139845022856603,Moderate
2.659328442736749,4.383885657793717,1.0936818779634667,2.2436182572083574,Bad
3.7901904740753887,2.514466308383202,1.0121664889234356,1.9039960001774028,Moderate
1.634219146887503,3.177045318300853,1.0104935872522347,1.589345597751192,Good
4.903462404530398,1.8005847522690703,1.0851653385153517,2.5582686596345683,Bad
2.4269931288695297,1.5837321077374504,1.28799068169452,1.6243059544641931,Good
1.3421138146500715,3.8514560962527473,1.0432463116984063,1.409545367793357,Good
1.827242396351765,5.969342574382381,1.0012166404974738,1.8190895369185145,Bad
1.2579874583266948,4.577169420401123,1.0,1.0,Good
2.107663541098445,5.738291808209669,1.0291995398367664,1.943951207278633,Bad
1.489101201578737,3.520166591293922,1.0384764865915277,1.2197554370590649,Good
2.013138226304836,3.701618585867085,1.0069957248348231,1.4544954252828155,Good
1.7470886599054318,6.777878274770464,1.079284872133696,1.5943392494712207,Bad
2.128695130179289,3.023232333855684,1.3206373789350951,1.6243059544641931,Bad
1.9446893808427843,2.291366490329501,1.0174893120870578,1.8048205906690609,Good
2.1260077393227643,2.518441782442708,1.0742155180722892,1.7591561269325693,Good
1.1822737505350285,5.511879095106381,1.0012166404974738,1.4295223720098722,Moderate
1.799200256078351,5.235772956259268,1.2311630936649824,1.0998886170871751,Bad
3.0330533316618618,1.6744107779518946,1.1399144966964632,2.3584902267920187,Moderate
3.4284471676836143,4.53372316817938,1.1155815468324912,2.1187565868482388,Bad
1.328092776761797,6.0166696465193565,1.0133831294209097,1.2397336399437795,Good
2.108731802666511,6.475742246248014,1.0251846094053634,1.5843507473629632,Bad
2.003907693033365,3.421536972960466,1.073773108433735,1.5743622452547057,Good
2.5129889268128065,2.751101669068077,1.095608248736883,1.7341842723278256,Good
1.0030712761945146,5.2042531262160425,1.0026650353672757,1.059933409985945,Good
1.529995954541664,3.165213550266609,1.0,1.1498335249648624,Good
2.7736637759960256,1.7414259120978512,1.1923824329576371,1.6243059544641931,Good
2.811520662140292,1.402280113164288,1.1818888457054022,2.15371814222944,Good
2.5452373591036435,5.168757822113311,1.0991061111542946,1.6342956552406505,Bad
2.3786204804332747,4.707318868777804,1.0991061111542946,1.5593788927582195,Moderate
1.9088194496056867,3.0665839319331534,1.0152634123591138,1.0799116128706598,Good
1.5052254177241555,5.697211909594775,1.162067634667703,1.214761785339036,Bad
2.1460596855274776,4.691511626684054,1.014657722502915,1.7591561269325693,Moderate
1.3617433063917748,5.145094286044824,1.0559657986785853,1.1648168774613483,Good
1.7873992002689778,4.553505884332635,1.0034978624174116,1.389567164908642,Moderate
2.193191994760963,2.131874257227896,1.053633899727944,1.274695195324981,Good
1.2944421826349544,5.129287043951074,1.0304162083171395,1.0,Good
1.7175276184711197,4.656016322581324,1.0676253493975905,1.11986681997189,Good
1.8492087384909917,5.010969363608637,1.0757870097162845,1.2397336399437795,Good
2.962948077723624,1.4180873552580378,1.133554739214924,1.918979352673889,Good
